param_warm_start,param_validation_fraction,param_tol,param_solver,param_shuffle,param_nesterovs_momentum,param_momentum,param_max_iter,param_learning_rate,param_hidden_layer_sizes,param_epsilon,param_early_stopping,param_beta_2,param_beta_1,param_batch_size,param_alpha,param_activation,params,mean_test_score,std_test_score,rank_test_score
False,0.2,0.001,lbfgs,False,False,0.99,200,adaptive,"(150,)",1e-08,True,0.999,0.9,200,0.001,tanh,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 200, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150,), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.001, 'activation': 'tanh'}",0.9999405116002379,0.00017846519928612636,1
True,0.1,0.001,adam,False,True,0.99,400,invscaling,"(150,)",1e-06,False,0.9999,0.99,500,0.001,logistic,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (150,), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.001, 'activation': 'logistic'}",0.9999405116002379,0.00017846519928612636,1
True,0.1,0.001,sgd,False,True,0.99,800,adaptive,"(150,)",1e-07,False,0.999,0.9,500,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 800, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.01, 'activation': 'relu'}",0.9999405116002379,0.00017846519928612636,1
True,0.15,0.001,lbfgs,True,True,0.99,400,constant,"(150, 150)",1e-06,False,0.999,0.9,200,0.0001,identity,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'constant', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.0001, 'activation': 'identity'}",0.9999405116002379,0.00017846519928612636,1
True,0.2,0.0001,lbfgs,True,False,0.99,400,invscaling,"(100, 100)",1e-07,False,0.999,0.99,100,0.01,tanh,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.0001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 100, 'alpha': 0.01, 'activation': 'tanh'}",0.9999405116002379,0.00017846519928612636,1
True,0.1,0.001,lbfgs,True,False,0.95,200,constant,"(200, 200)",1e-06,True,0.9999,0.9,100,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 200, 'learning_rate': 'constant', 'hidden_layer_sizes': (200, 200), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 100, 'alpha': 0.01, 'activation': 'relu'}",0.9998810232004759,0.00023795359904816847,6
False,0.2,0.01,adam,False,False,0.99,600,constant,"(150, 150)",1e-08,False,0.9999,0.99,100,0.0001,logistic,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 600, 'learning_rate': 'constant', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-08, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 100, 'alpha': 0.0001, 'activation': 'logistic'}",0.9998810232004759,0.00023795359904816847,6
False,0.1,0.001,adam,False,False,0.99,800,constant,"(50,)",1e-07,False,0.9999,0.99,auto,0.01,identity,"{'warm_start': False, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 800, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 'auto', 'alpha': 0.01, 'activation': 'identity'}",0.9998810232004759,0.00023795359904816847,6
True,0.15,0.0001,adam,True,False,0.95,800,adaptive,"(200,)",1e-07,False,0.999,0.9,100,0.001,logistic,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'adam', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 800, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (200,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 100, 'alpha': 0.001, 'activation': 'logistic'}",0.9998810232004759,0.00023795359904816847,6
False,0.2,0.001,lbfgs,False,True,0.9,600,adaptive,"(200, 200)",1e-07,False,0.999,0.99,auto,0.1,logistic,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.9, 'max_iter': 600, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (200, 200), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 'auto', 'alpha': 0.1, 'activation': 'logistic'}",0.9998810232004759,0.00023795359904816847,6
True,0.15,0.0001,sgd,False,True,0.95,600,adaptive,"(150, 150)",1e-06,False,0.9999,0.99,500,0.01,tanh,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 600, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.01, 'activation': 'tanh'}",0.9998810232004759,0.00023795359904816847,6
False,0.2,0.01,adam,True,True,0.99,800,adaptive,"(150, 150)",1e-07,True,0.9999,0.9,auto,0.001,logistic,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'adam', 'shuffle': True, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 800, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-07, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 'auto', 'alpha': 0.001, 'activation': 'logistic'}",0.999821534800714,0.00038091161436245593,12
True,0.2,0.0001,lbfgs,True,False,0.95,800,invscaling,"(50,)",1e-06,True,0.9999,0.9,500,0.0001,identity,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.0001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 800, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (50,), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.0001, 'activation': 'identity'}",0.9998214993909521,0.00027266419951429093,13
True,0.1,0.001,lbfgs,False,True,0.95,400,invscaling,"(100, 100)",1e-08,True,0.999,0.9,500,0.0001,identity,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.0001, 'activation': 'identity'}",0.9998214993909521,0.00027266419951429093,13
False,0.1,0.01,adam,False,False,0.95,600,adaptive,"(150, 150)",1e-07,True,0.999,0.9,auto,0.001,relu,"{'warm_start': False, 'validation_fraction': 0.1, 'tol': 0.01, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 600, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-07, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 'auto', 'alpha': 0.001, 'activation': 'relu'}",0.9997620464009518,0.00029143245006341486,15
False,0.15,0.01,adam,True,True,0.95,200,adaptive,"(50, 50)",1e-07,True,0.999,0.99,200,0.1,relu,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.01, 'solver': 'adam', 'shuffle': True, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 200, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50, 50), 'epsilon': 1e-07, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 200, 'alpha': 0.1, 'activation': 'relu'}",0.9995835812016658,0.0008843586405305481,16
False,0.15,0.001,sgd,False,False,0.95,400,constant,"(200, 200)",1e-06,True,0.999,0.9,200,0.1,identity,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 400, 'learning_rate': 'constant', 'hidden_layer_sizes': (200, 200), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.1, 'activation': 'identity'}",0.999524057392142,0.0005186159801238606,17
True,0.1,0.0001,adam,False,False,0.99,200,invscaling,"(150,)",1e-06,True,0.9999,0.9,100,0.01,identity,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.0001, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 200, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (150,), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 100, 'alpha': 0.01, 'activation': 'identity'}",0.9994644981728562,0.0006758547986779684,18
False,0.15,0.01,lbfgs,False,True,0.95,800,constant,"(150,)",1e-08,True,0.999,0.9,100,0.1,relu,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.01, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 800, 'learning_rate': 'constant', 'hidden_layer_sizes': (150,), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 100, 'alpha': 0.1, 'activation': 'relu'}",0.9990480793745219,0.0007619394181115248,19
False,0.15,0.01,sgd,False,False,0.9,400,constant,"(200,)",1e-06,True,0.999,0.9,200,0.001,tanh,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.01, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.9, 'max_iter': 400, 'learning_rate': 'constant', 'hidden_layer_sizes': (200,), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.001, 'activation': 'tanh'}",0.9986911843857115,0.0009138689424928249,20
True,0.1,0.01,lbfgs,False,False,0.95,800,invscaling,"(150,)",1e-06,True,0.9999,0.9,auto,0.1,tanh,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.01, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 800, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (150,), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 'auto', 'alpha': 0.1, 'activation': 'tanh'}",0.9983935299283306,0.0014589885888133664,21
True,0.1,0.01,sgd,False,True,0.99,600,invscaling,"(100,)",1e-06,False,0.999,0.9,500,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.01, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 600, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100,), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.01, 'activation': 'relu'}",0.9923848828645081,0.005039636922691992,22
True,0.2,0.01,sgd,True,False,0.99,400,invscaling,"(50, 50)",1e-08,False,0.9999,0.9,500,0.0001,relu,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'sgd', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (50, 50), 'epsilon': 1e-08, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.0001, 'activation': 'relu'}",0.990659860910456,0.0050967995525327036,23
True,0.2,0.01,sgd,False,True,0.99,600,invscaling,"(50,)",1e-08,True,0.999,0.99,500,0.0001,relu,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 600, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (50,), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.0001, 'activation': 'relu'}",0.9739433727089886,0.009747811844197988,24
True,0.15,0.0001,sgd,False,True,0.9,600,invscaling,"(100,)",1e-06,True,0.9999,0.9,500,0.1,logistic,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.9, 'max_iter': 600, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100,), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.1, 'activation': 'logistic'}",0.8795305019687827,0.017160875102285596,25
